생존1,"1-Upper,2-Middle,3-Lower Class",,,본인을 제외한 형제 자매 배우자 인원,"본인을 제외한 부모,자식",지불 금액,+,+,+,,,탑승항구,+,,342,,,,,,,,,
survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,생존자 수,,생존자 수 ,1등급,남자,나이,본인 제외 0명,본인 제외 0명,,지불금액
0,3,male,22,1,0,7.25,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,342,216,577,20,608,678,,0
1,1,female,38,1,0,71.2833,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,1,,사망자 수,2등급,여자,30,본인 제외 1명,본인 제외 1명,,70
1,3,female,26,0,0,7.925,S,Third,woman,FALSE,,Southampton,yes,TRUE,1,,549,184,314,20,209,118,,0
1,1,female,35,1,0,53.1,S,First,woman,FALSE,C,Southampton,yes,FALSE,1,,,3등급,,30,본인 제외 2명,본인 제외 2명,,50
0,3,male,35,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,491,,30,28,80,,0
0,3,male,,0,0,8.4583,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,491,,0,본인 제외 3명,본인 제외 3명,,0
0,1,male,54,0,0,51.8625,S,First,man,TRUE,E,Southampton,no,TRUE,FALSE,,,,,50,16,5,,50
0,3,male,2,3,1,21.075,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,0대,0,본인 제외 4명,본인 제외 4명,0대,20
1,3,female,27,0,2,11.1333,S,Third,woman,FALSE,,Southampton,yes,FALSE,1,,,,246,20,18,4,343,10
1,2,female,14,1,0,30.0708,C,Second,child,FALSE,,Cherbourg,yes,FALSE,1,,,,10대,10,본인 제외 5명,본인 제외 5명,10대,30
1,3,female,4,1,1,16.7,S,Third,child,FALSE,G,Southampton,yes,FALSE,1,,,,102,0,5,5,179,10
1,1,female,58,0,0,26.55,S,First,woman,FALSE,C,Southampton,yes,TRUE,1,,,,20대,50,본인 제외 6명,본인 제외 6명,20대,20
0,3,male,20,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,220,20,0,1,136,0
0,3,male,39,1,5,31.275,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,30대,30,본인 제외 7명,본인 제외 7명,30대,30
0,3,female,14,0,0,7.8542,S,Third,child,FALSE,,Southampton,no,TRUE,FALSE,,,,167,10,0,0,64,0
1,2,female,55,0,0,16,S,Second,woman,FALSE,,Southampton,yes,TRUE,1,,,,40대,50,,,40대,10
0,3,male,2,4,1,29.125,Q,Third,child,FALSE,,Queenstown,no,FALSE,FALSE,,,,89,0,,,15,20
1,2,male,,0,0,13,S,Second,man,TRUE,,Southampton,yes,TRUE,1,,,,50대,0,,,50대,10
0,3,female,31,1,0,18,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,48,30,,,39,10
1,3,female,,0,0,7.225,C,Third,woman,FALSE,,Cherbourg,yes,TRUE,1,,,,60대,0,,,60대,0
0,2,male,35,0,0,26,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,19,30,,,17,20
1,2,male,34,0,0,13,S,Second,man,TRUE,D,Southampton,yes,TRUE,1,,,,70대,30,,,70대,10
1,3,female,15,0,0,8.0292,Q,Third,child,FALSE,,Queenstown,yes,TRUE,1,,,,6,10,,,29,0
1,1,male,28,0,0,35.5,S,First,man,TRUE,A,Southampton,yes,TRUE,1,,,,80대,20,,,80대,30
0,3,female,8,3,1,21.075,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,1,0,,,15,20
1,3,female,38,1,5,31.3875,S,Third,woman,FALSE,,Southampton,yes,FALSE,1,,,,90대,30,,,90대,30
0,3,male,,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,0,0,,,8,0
0,1,male,19,3,2,263,S,First,man,TRUE,C,Southampton,no,FALSE,FALSE,,,,100대,10,,,100대,260
1,3,female,,0,0,7.8792,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,1,,,,0,0,,,4,0
0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,110대,0
0,1,male,40,0,0,27.7208,C,First,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,40,,,7,20
1,1,female,,1,0,146.5208,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,1,,,,,0,,,120대,140
1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,1,,,,,0,,,4,0
0,2,male,66,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,60,,,,10
0,1,male,28,1,0,82.1708,C,First,man,TRUE,,Cherbourg,no,FALSE,FALSE,,,,,20,,,,80
0,1,male,42,1,0,52,S,First,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,40,,,,50
1,3,male,,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,yes,TRUE,1,,,,,0,,,,0
0,3,male,21,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,female,18,2,0,18,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,10,,,,10
1,3,female,14,1,0,11.2417,C,Third,child,FALSE,,Cherbourg,yes,FALSE,1,,,,,10,,,,10
0,3,female,40,1,0,9.475,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,40,,,,0
0,2,female,27,1,0,21,S,Second,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,20,,,,20
0,3,male,,0,0,7.8958,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,0,,,,0
1,2,female,3,1,2,41.5792,C,Second,child,FALSE,,Cherbourg,yes,FALSE,1,,,,,0,,,,40
1,3,female,19,0,0,7.8792,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,1,,,,,10,,,,0
0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,3,male,,1,0,15.5,Q,Third,man,TRUE,,Queenstown,no,FALSE,FALSE,,,,,0,,,,10
1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,1,,,,,0,,,,0
0,3,male,,2,0,21.6792,C,Third,man,TRUE,,Cherbourg,no,FALSE,FALSE,,,,,0,,,,20
0,3,female,18,1,0,17.8,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,10,,,,10
0,3,male,7,4,1,39.6875,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,,0,,,,30
0,3,male,21,0,0,7.8,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
1,1,female,49,1,0,76.7292,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,1,,,,,40,,,,70
1,2,female,29,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,20,,,,20
0,1,male,65,0,1,61.9792,C,First,man,TRUE,B,Cherbourg,no,FALSE,FALSE,,,,,60,,,,60
1,1,male,,0,0,35.5,S,First,man,TRUE,C,Southampton,yes,TRUE,1,,,,,0,,,,30
1,2,female,21,0,0,10.5,S,Second,woman,FALSE,,Southampton,yes,TRUE,1,,,,,20,,,,10
0,3,male,28.5,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,20,,,,0
1,2,female,5,1,2,27.75,S,Second,child,FALSE,,Southampton,yes,FALSE,1,,,,,0,,,,20
0,3,male,11,5,2,46.9,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,,10,,,,40
0,3,male,22,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,20,,,,0
1,1,female,38,0,0,80,,First,woman,FALSE,B,,yes,TRUE,1,,,,,30,,,,80
0,1,male,45,1,0,83.475,S,First,man,TRUE,C,Southampton,no,FALSE,FALSE,,,,,40,,,,80
0,3,male,4,3,2,27.9,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,,0,,,,20
0,1,male,,0,0,27.7208,C,First,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,0,,,,20
1,3,male,,1,1,15.2458,C,Third,man,TRUE,,Cherbourg,yes,FALSE,1,,,,,0,,,,10
1,2,female,29,0,0,10.5,S,Second,woman,FALSE,F,Southampton,yes,TRUE,1,,,,,20,,,,10
0,3,male,19,0,0,8.1583,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,0
1,3,female,17,4,2,7.925,S,Third,woman,FALSE,,Southampton,yes,FALSE,1,,,,,10,,,,0
0,3,male,26,2,0,8.6625,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,20,,,,0
0,2,male,32,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,10
0,3,female,16,5,2,46.9,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,10,,,,40
0,2,male,21,0,0,73.5,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,70
0,3,male,26,1,0,14.4542,C,Third,man,TRUE,,Cherbourg,no,FALSE,FALSE,,,,,20,,,,10
1,3,male,32,0,0,56.4958,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,30,,,,50
0,3,male,25,0,0,7.65,S,Third,man,TRUE,F,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
1,2,male,0.83,0,2,29,S,Second,child,FALSE,,Southampton,yes,FALSE,1,,,,,0,,,,20
1,3,female,30,0,0,12.475,S,Third,woman,FALSE,,Southampton,yes,TRUE,1,,,,,30,,,,10
0,3,male,22,0,0,9,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
1,3,male,29,0,0,9.5,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,20,,,,0
1,3,female,,0,0,7.7875,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,1,,,,,0,,,,0
0,1,male,28,0,0,47.1,S,First,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,40
1,2,female,17,0,0,10.5,S,Second,woman,FALSE,,Southampton,yes,TRUE,1,,,,,10,,,,10
1,3,female,33,3,0,15.85,S,Third,woman,FALSE,,Southampton,yes,FALSE,1,,,,,30,,,,10
0,3,male,16,1,3,34.375,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,10,,,,30
0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
1,1,female,23,3,2,263,S,First,woman,FALSE,C,Southampton,yes,FALSE,1,,,,,20,,,,260
0,3,male,24,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,29,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,20,0,0,7.8542,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,1,male,46,1,0,61.175,S,First,man,TRUE,E,Southampton,no,FALSE,FALSE,,,,,40,,,,60
0,3,male,26,1,2,20.575,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,20,,,,20
0,3,male,59,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,50,,,,0
0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,1,male,71,0,0,34.6542,C,First,man,TRUE,A,Cherbourg,no,TRUE,FALSE,,,,,70,,,,30
1,1,male,23,0,1,63.3583,C,First,man,TRUE,D,Cherbourg,yes,FALSE,1,,,,,20,,,,60
1,2,female,34,0,1,23,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,30,,,,20
0,2,male,34,1,0,26,S,Second,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,30,,,,20
0,3,female,28,0,0,7.8958,S,Third,woman,FALSE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,1,male,21,0,1,77.2875,S,First,man,TRUE,D,Southampton,no,FALSE,FALSE,,,,,20,,,,70
0,3,male,33,0,0,8.6542,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
0,3,male,37,2,0,7.925,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,30,,,,0
0,3,male,28,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
1,3,female,21,0,0,7.65,S,Third,woman,FALSE,,Southampton,yes,TRUE,1,,,,,20,,,,0
1,3,male,,0,0,7.775,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,0,,,,0
0,3,male,38,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
1,3,female,,1,0,24.15,Q,Third,woman,FALSE,,Queenstown,yes,FALSE,1,,,,,0,,,,20
0,1,male,47,0,0,52,S,First,man,TRUE,C,Southampton,no,TRUE,FALSE,,,,,40,,,,50
0,3,female,14.5,1,0,14.4542,C,Third,child,FALSE,,Cherbourg,no,FALSE,FALSE,,,,,10,,,,10
0,3,male,22,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,female,20,1,0,9.825,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,20,,,,0
0,3,female,17,0,0,14.4583,C,Third,woman,FALSE,,Cherbourg,no,TRUE,FALSE,,,,,10,,,,10
0,3,male,21,0,0,7.925,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,70.5,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,70,,,,0
0,2,male,29,1,0,21,S,Second,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,20,,,,20
0,1,male,24,0,1,247.5208,C,First,man,TRUE,B,Cherbourg,no,FALSE,FALSE,,,,,20,,,,240
0,3,female,2,4,2,31.275,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,,0,,,,30
0,2,male,21,2,0,73.5,S,Second,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,20,,,,70
0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,2,male,32.5,1,0,30.0708,C,Second,man,TRUE,,Cherbourg,no,FALSE,FALSE,,,,,30,,,,30
1,2,female,32.5,0,0,13,S,Second,woman,FALSE,E,Southampton,yes,TRUE,1,,,,,30,,,,10
0,1,male,54,0,1,77.2875,S,First,man,TRUE,D,Southampton,no,FALSE,FALSE,,,,,50,,,,70
1,3,male,12,1,0,11.2417,C,Third,child,FALSE,,Cherbourg,yes,FALSE,1,,,,,10,,,,10
0,3,male,,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,0,,,,0
1,3,male,24,0,0,7.1417,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,20,,,,0
1,3,female,,1,1,22.3583,C,Third,woman,FALSE,F,Cherbourg,yes,FALSE,1,,,,,0,,,,20
0,3,male,45,0,0,6.975,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,40,,,,0
0,3,male,33,0,0,7.8958,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,30,,,,0
0,3,male,20,0,0,7.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,female,47,1,0,14.5,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,40,,,,10
1,2,female,29,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,20,,,,20
0,2,male,25,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,10
0,2,male,23,0,0,15.0458,C,Second,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,20,,,,10
1,1,female,19,0,2,26.2833,S,First,woman,FALSE,D,Southampton,yes,FALSE,1,,,,,10,,,,20
0,1,male,37,1,0,53.1,S,First,man,TRUE,C,Southampton,no,FALSE,FALSE,,,,,30,,,,50
0,3,male,16,0,0,9.2167,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,0
0,1,male,24,0,0,79.2,C,First,man,TRUE,B,Cherbourg,no,TRUE,FALSE,,,,,20,,,,70
0,3,female,,0,2,15.2458,C,Third,woman,FALSE,,Cherbourg,no,FALSE,FALSE,,,,,0,,,,10
1,3,female,22,0,0,7.75,S,Third,woman,FALSE,,Southampton,yes,TRUE,1,,,,,20,,,,0
1,3,female,24,1,0,15.85,S,Third,woman,FALSE,,Southampton,yes,FALSE,1,,,,,20,,,,10
0,3,male,19,0,0,6.75,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,10,,,,0
0,2,male,18,0,0,11.5,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,10
0,2,male,19,1,1,36.75,S,Second,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,10,,,,30
1,3,male,27,0,0,7.7958,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,20,,,,0
0,3,female,9,2,2,34.375,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,,0,,,,30
0,2,male,36.5,0,2,26,S,Second,man,TRUE,F,Southampton,no,FALSE,FALSE,,,,,30,,,,20
0,2,male,42,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,40,,,,10
0,2,male,51,0,0,12.525,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,50,,,,10
1,1,female,22,1,0,66.6,S,First,woman,FALSE,C,Southampton,yes,FALSE,1,,,,,20,,,,60
0,3,male,55.5,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,50,,,,0
0,3,male,40.5,0,2,14.5,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,40,,,,10
0,3,male,,0,0,7.3125,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,1,male,51,0,1,61.3792,C,First,man,TRUE,,Cherbourg,no,FALSE,FALSE,,,,,50,,,,60
1,3,female,16,0,0,7.7333,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,1,,,,,10,,,,0
0,3,male,30,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
0,3,male,,0,0,8.6625,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,3,male,,8,2,69.55,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,0,,,,60
0,3,male,44,0,1,16.1,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,40,,,,10
1,2,female,40,0,0,15.75,S,Second,woman,FALSE,,Southampton,yes,TRUE,1,,,,,40,,,,10
0,3,male,26,0,0,7.775,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,17,0,0,8.6625,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,0
0,3,male,1,4,1,39.6875,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,,0,,,,30
1,3,male,9,0,2,20.525,S,Third,child,FALSE,,Southampton,yes,FALSE,1,,,,,0,,,,20
1,1,female,,0,1,55,S,First,woman,FALSE,E,Southampton,yes,FALSE,1,,,,,0,,,,50
0,3,female,45,1,4,27.9,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,40,,,,20
0,1,male,,0,0,25.925,S,First,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,20
0,3,male,28,0,0,56.4958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,50
0,1,male,61,0,0,33.5,S,First,man,TRUE,B,Southampton,no,TRUE,FALSE,,,,,60,,,,30
0,3,male,4,4,1,29.125,Q,Third,child,FALSE,,Queenstown,no,FALSE,FALSE,,,,,0,,,,20
1,3,female,1,1,1,11.1333,S,Third,child,FALSE,,Southampton,yes,FALSE,1,,,,,0,,,,10
0,3,male,21,0,0,7.925,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,1,male,56,0,0,30.6958,C,First,man,TRUE,A,Cherbourg,no,TRUE,FALSE,,,,,50,,,,30
0,3,male,18,1,1,7.8542,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,10,,,,0
0,3,male,,3,1,25.4667,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,0,,,,20
0,1,female,50,0,0,28.7125,C,First,woman,FALSE,C,Cherbourg,no,TRUE,FALSE,,,,,50,,,,20
0,2,male,30,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,10
0,3,male,36,0,0,0,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
0,3,female,,8,2,69.55,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,0,,,,60
0,2,male,,0,0,15.05,C,Second,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,0,,,,10
0,3,male,9,4,2,31.3875,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,,0,,,,30
1,2,male,1,2,1,39,S,Second,child,FALSE,F,Southampton,yes,FALSE,1,,,,,0,,,,30
1,3,female,4,0,2,22.025,S,Third,child,FALSE,,Southampton,yes,FALSE,1,,,,,0,,,,20
0,1,male,,0,0,50,S,First,man,TRUE,A,Southampton,no,TRUE,FALSE,,,,,0,,,,50
1,3,female,,1,0,15.5,Q,Third,woman,FALSE,,Queenstown,yes,FALSE,1,,,,,0,,,,10
1,1,male,45,0,0,26.55,S,First,man,TRUE,,Southampton,yes,TRUE,1,,,,,40,,,,20
0,3,male,40,1,1,15.5,Q,Third,man,TRUE,,Queenstown,no,FALSE,FALSE,,,,,40,,,,10
0,3,male,36,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
1,2,female,32,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE,1,,,,,30,,,,10
0,2,male,19,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,10
1,3,female,19,1,0,7.8542,S,Third,woman,FALSE,,Southampton,yes,FALSE,1,,,,,10,,,,0
1,2,male,3,1,1,26,S,Second,child,FALSE,F,Southampton,yes,FALSE,1,,,,,0,,,,20
1,1,female,44,0,0,27.7208,C,First,woman,FALSE,B,Cherbourg,yes,TRUE,1,,,,,40,,,,20
1,1,female,58,0,0,146.5208,C,First,woman,FALSE,B,Cherbourg,yes,TRUE,1,,,,,50,,,,140
0,3,male,,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,0,,,,0
0,3,male,42,0,1,8.4042,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,40,,,,0
1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,1,,,,,0,,,,0
0,2,female,24,0,0,13,S,Second,woman,FALSE,,Southampton,no,TRUE,FALSE,,,,,20,,,,10
0,3,male,28,0,0,9.5,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,,8,2,69.55,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,0,,,,60
0,3,male,34,0,0,6.4958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
0,3,male,45.5,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,40,,,,0
1,3,male,18,0,0,8.05,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,10,,,,0
0,3,female,2,0,1,10.4625,S,Third,child,FALSE,G,Southampton,no,FALSE,FALSE,,,,,0,,,,10
0,3,male,32,1,0,15.85,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,30,,,,10
1,3,male,26,0,0,18.7875,C,Third,man,TRUE,,Cherbourg,yes,TRUE,1,,,,,20,,,,10
1,3,female,16,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,1,,,,,10,,,,0
1,1,male,40,0,0,31,C,First,man,TRUE,A,Cherbourg,yes,TRUE,1,,,,,40,,,,30
0,3,male,24,0,0,7.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
1,2,female,35,0,0,21,S,Second,woman,FALSE,,Southampton,yes,TRUE,1,,,,,30,,,,20
0,3,male,22,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,2,male,30,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,10
0,3,male,,1,0,7.75,Q,Third,man,TRUE,,Queenstown,no,FALSE,FALSE,,,,,0,,,,0
1,1,female,31,1,0,113.275,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,1,,,,,30,,,,110
1,3,female,27,0,0,7.925,S,Third,woman,FALSE,,Southampton,yes,TRUE,1,,,,,20,,,,0
