생존1,"1-Upper,2-Middle,3-Lower Class",,,본인을 제외한 형제 자매 배우자 인원,"본인을 제외한 부모,자식",지불 금액,+,+,+,,,탑승항구,+,,342,,,,,,,,,
0,2,male,42,1,0,27,S,Second,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,40,,,,20
1,1,female,32,0,0,76.2917,C,First,woman,FALSE,D,Cherbourg,yes,TRUE,1,,,,,30,,,,70
0,2,male,30,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,10
1,3,male,16,0,0,8.05,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,10,,,,0
0,2,male,27,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,10
0,3,male,51,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,50,,,,0
0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
1,1,male,38,1,0,90,S,First,man,TRUE,C,Southampton,yes,FALSE,1,,,,,30,,,,90
0,3,male,22,0,0,9.35,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
1,2,male,19,0,0,10.5,S,Second,man,TRUE,,Southampton,yes,TRUE,1,,,,,10,,,,10
0,3,male,20.5,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,2,male,18,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,10
0,3,female,,3,1,25.4667,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,0,,,,20
1,1,female,35,1,0,83.475,S,First,woman,FALSE,C,Southampton,yes,FALSE,1,,,,,30,,,,80
0,3,male,29,0,0,7.775,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,2,male,59,0,0,13.5,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,50,,,,10
1,3,female,5,4,2,31.3875,S,Third,child,FALSE,,Southampton,yes,FALSE,1,,,,,0,,,,30
0,2,male,24,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,10
0,3,female,,0,0,7.55,S,Third,woman,FALSE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,2,male,44,1,0,26,S,Second,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,40,,,,20
1,2,female,8,0,2,26.25,S,Second,child,FALSE,,Southampton,yes,FALSE,1,,,,,0,,,,20
0,2,male,19,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,10
0,2,male,33,0,0,12.275,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,10
0,3,female,,1,0,14.4542,C,Third,woman,FALSE,,Cherbourg,no,FALSE,FALSE,,,,,0,,,,10
1,3,female,,1,0,15.5,Q,Third,woman,FALSE,,Queenstown,yes,FALSE,1,,,,,0,,,,10
0,2,male,29,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,10
0,3,male,22,0,0,7.125,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,30,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,30,,,,0
0,1,male,44,2,0,90,Q,First,man,TRUE,C,Queenstown,no,FALSE,FALSE,,,,,40,,,,90
0,3,female,25,0,0,7.775,S,Third,woman,FALSE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
1,2,female,24,0,2,14.5,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,20,,,,10
1,1,male,37,1,1,52.5542,S,First,man,TRUE,D,Southampton,yes,FALSE,1,,,,,30,,,,50
0,2,male,54,1,0,26,S,Second,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,50,,,,20
0,3,male,,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,3,female,29,1,1,10.4625,S,Third,woman,FALSE,G,Southampton,no,FALSE,FALSE,,,,,20,,,,10
0,1,male,62,0,0,26.55,S,First,man,TRUE,C,Southampton,no,TRUE,FALSE,,,,,60,,,,20
0,3,male,30,1,0,16.1,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,30,,,,10
0,3,female,41,0,2,20.2125,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,40,,,,20
1,3,female,29,0,2,15.2458,C,Third,woman,FALSE,,Cherbourg,yes,FALSE,1,,,,,20,,,,10
1,1,female,,0,0,79.2,C,First,woman,FALSE,,Cherbourg,yes,TRUE,1,,,,,0,,,,70
1,1,female,30,0,0,86.5,S,First,woman,FALSE,B,Southampton,yes,TRUE,1,,,,,30,,,,80
1,1,female,35,0,0,512.3292,C,First,woman,FALSE,,Cherbourg,yes,TRUE,1,,,,,30,,,,510
1,2,female,50,0,1,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,50,,,,20
0,3,male,,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,0,,,,0
1,3,male,3,4,2,31.3875,S,Third,child,FALSE,,Southampton,yes,FALSE,1,,,,,0,,,,30
0,1,male,52,1,1,79.65,S,First,man,TRUE,E,Southampton,no,FALSE,FALSE,,,,,50,,,,70
0,1,male,40,0,0,0,S,First,man,TRUE,B,Southampton,no,TRUE,FALSE,,,,,40,,,,0
0,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,no,TRUE,FALSE,,,,,0,,,,0
0,2,male,36,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,10
0,3,male,16,4,1,39.6875,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,10,,,,30
1,3,male,25,1,0,7.775,S,Third,man,TRUE,,Southampton,yes,FALSE,1,,,,,20,,,,0
1,1,female,58,0,1,153.4625,S,First,woman,FALSE,C,Southampton,yes,FALSE,1,,,,,50,,,,150
1,1,female,35,0,0,135.6333,S,First,woman,FALSE,C,Southampton,yes,TRUE,1,,,,,30,,,,130
0,1,male,,0,0,31,S,First,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,30
1,3,male,25,0,0,0,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,20,,,,0
1,2,female,41,0,1,19.5,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,40,,,,10
0,1,male,37,0,1,29.7,C,First,man,TRUE,C,Cherbourg,no,FALSE,FALSE,,,,,30,,,,20
1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,1,,,,,0,,,,0
1,1,female,63,1,0,77.9583,S,First,woman,FALSE,D,Southampton,yes,FALSE,1,,,,,60,,,,70
0,3,female,45,0,0,7.75,S,Third,woman,FALSE,,Southampton,no,TRUE,FALSE,,,,,40,,,,0
0,2,male,,0,0,0,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,3,male,7,4,1,29.125,Q,Third,child,FALSE,,Queenstown,no,FALSE,FALSE,,,,,0,,,,20
1,3,female,35,1,1,20.25,S,Third,woman,FALSE,,Southampton,yes,FALSE,1,,,,,30,,,,20
0,3,male,65,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,60,,,,0
0,3,male,28,0,0,7.8542,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,16,0,0,9.5,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,0
1,3,male,19,0,0,8.05,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,10,,,,0
0,1,male,,0,0,26,S,First,man,TRUE,A,Southampton,no,TRUE,FALSE,,,,,0,,,,20
0,3,male,33,0,0,8.6625,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,30,,,,0
1,3,male,30,0,0,9.5,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,30,,,,0
0,3,male,22,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
1,2,male,42,0,0,13,S,Second,man,TRUE,,Southampton,yes,TRUE,1,,,,,40,,,,10
1,3,female,22,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,1,,,,,20,,,,0
1,1,female,26,0,0,78.85,S,First,woman,FALSE,,Southampton,yes,TRUE,1,,,,,20,,,,70
1,1,female,19,1,0,91.0792,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,1,,,,,10,,,,90
0,2,male,36,0,0,12.875,C,Second,man,TRUE,D,Cherbourg,no,TRUE,FALSE,,,,,30,,,,10
0,3,female,24,0,0,8.85,S,Third,woman,FALSE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,24,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,1,male,,0,0,27.7208,C,First,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,0,,,,20
0,3,male,23.5,0,0,7.2292,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,20,,,,0
0,1,female,2,1,2,151.55,S,First,child,FALSE,C,Southampton,no,FALSE,FALSE,,,,,0,,,,150
1,1,male,,0,0,30.5,S,First,man,TRUE,C,Southampton,yes,TRUE,1,,,,,0,,,,30
1,1,female,50,0,1,247.5208,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,1,,,,,50,,,,240
1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,1,,,,,0,,,,0
1,3,male,,2,0,23.25,Q,Third,man,TRUE,,Queenstown,yes,FALSE,1,,,,,0,,,,20
0,3,male,19,0,0,0,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,0
1,2,female,,0,0,12.35,Q,Second,woman,FALSE,E,Queenstown,yes,TRUE,1,,,,,0,,,,10
0,3,male,,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
1,1,male,0.92,1,2,151.55,S,First,child,FALSE,C,Southampton,yes,FALSE,1,,,,,0,,,,150
1,1,female,,0,0,110.8833,C,First,woman,FALSE,,Cherbourg,yes,TRUE,1,,,,,0,,,,110
1,1,female,17,1,0,108.9,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,1,,,,,10,,,,100
0,2,male,30,1,0,24,C,Second,man,TRUE,,Cherbourg,no,FALSE,FALSE,,,,,30,,,,20
1,1,female,30,0,0,56.9292,C,First,woman,FALSE,E,Cherbourg,yes,TRUE,1,,,,,30,,,,50
1,1,female,24,0,0,83.1583,C,First,woman,FALSE,C,Cherbourg,yes,TRUE,1,,,,,20,,,,80
1,1,female,18,2,2,262.375,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,1,,,,,10,,,,260
0,2,female,26,1,1,26,S,Second,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,20,,,,20
0,3,male,28,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,2,male,43,1,1,26.25,S,Second,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,40,,,,20
1,3,female,26,0,0,7.8542,S,Third,woman,FALSE,,Southampton,yes,TRUE,1,,,,,20,,,,0
1,2,female,24,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,20,,,,20
0,2,male,54,0,0,14,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,50,,,,10
1,1,female,31,0,2,164.8667,S,First,woman,FALSE,C,Southampton,yes,FALSE,1,,,,,30,,,,160
1,1,female,40,1,1,134.5,C,First,woman,FALSE,E,Cherbourg,yes,FALSE,1,,,,,40,,,,130
0,3,male,22,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,27,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
1,2,female,30,0,0,12.35,Q,Second,woman,FALSE,,Queenstown,yes,TRUE,1,,,,,30,,,,10
1,2,female,22,1,1,29,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,20,,,,20
0,3,male,,8,2,69.55,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,0,,,,60
1,1,female,36,0,0,135.6333,C,First,woman,FALSE,C,Cherbourg,yes,TRUE,1,,,,,30,,,,130
0,3,male,61,0,0,6.2375,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,60,,,,0
1,2,female,36,0,0,13,S,Second,woman,FALSE,D,Southampton,yes,TRUE,1,,,,,30,,,,10
1,3,female,31,1,1,20.525,S,Third,woman,FALSE,,Southampton,yes,FALSE,1,,,,,30,,,,20
1,1,female,16,0,1,57.9792,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,1,,,,,10,,,,50
1,3,female,,2,0,23.25,Q,Third,woman,FALSE,,Queenstown,yes,FALSE,1,,,,,0,,,,20
0,1,male,45.5,0,0,28.5,S,First,man,TRUE,C,Southampton,no,TRUE,FALSE,,,,,40,,,,20
0,1,male,38,0,1,153.4625,S,First,man,TRUE,C,Southampton,no,FALSE,FALSE,,,,,30,,,,150
0,3,male,16,2,0,18,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,10,,,,10
1,1,female,,1,0,133.65,S,First,woman,FALSE,,Southampton,yes,FALSE,1,,,,,0,,,,130
0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,1,male,29,1,0,66.6,S,First,man,TRUE,C,Southampton,no,FALSE,FALSE,,,,,20,,,,60
1,1,female,41,0,0,134.5,C,First,woman,FALSE,E,Cherbourg,yes,TRUE,1,,,,,40,,,,130
1,3,male,45,0,0,8.05,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,40,,,,0
0,1,male,45,0,0,35.5,S,First,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,40,,,,30
1,2,male,2,1,1,26,S,Second,child,FALSE,F,Southampton,yes,FALSE,1,,,,,0,,,,20
1,1,female,24,3,2,263,S,First,woman,FALSE,C,Southampton,yes,FALSE,1,,,,,20,,,,260
0,2,male,28,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,10
0,2,male,25,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,10
0,2,male,36,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,10
1,2,female,24,0,0,13,S,Second,woman,FALSE,F,Southampton,yes,TRUE,1,,,,,20,,,,10
1,2,female,40,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE,1,,,,,40,,,,10
1,3,female,,1,0,16.1,S,Third,woman,FALSE,,Southampton,yes,FALSE,1,,,,,0,,,,10
1,3,male,3,1,1,15.9,S,Third,child,FALSE,,Southampton,yes,FALSE,1,,,,,0,,,,10
0,3,male,42,0,0,8.6625,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,40,,,,0
0,3,male,23,0,0,9.225,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,1,male,,0,0,35,S,First,man,TRUE,C,Southampton,no,TRUE,FALSE,,,,,0,,,,30
0,3,male,15,1,1,7.2292,C,Third,child,FALSE,,Cherbourg,no,FALSE,FALSE,,,,,10,,,,0
0,3,male,25,1,0,17.8,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,20,,,,10
0,3,male,,0,0,7.225,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,0,,,,0
0,3,male,28,0,0,9.5,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
1,1,female,22,0,1,55,S,First,woman,FALSE,E,Southampton,yes,FALSE,1,,,,,20,,,,50
0,2,female,38,0,0,13,S,Second,woman,FALSE,,Southampton,no,TRUE,FALSE,,,,,30,,,,10
1,3,female,,0,0,7.8792,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,1,,,,,0,,,,0
1,3,female,,0,0,7.8792,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,1,,,,,0,,,,0
0,3,male,40,1,4,27.9,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,40,,,,20
0,2,male,29,1,0,27.7208,C,Second,man,TRUE,,Cherbourg,no,FALSE,FALSE,,,,,20,,,,20
0,3,female,45,0,1,14.4542,C,Third,woman,FALSE,,Cherbourg,no,FALSE,FALSE,,,,,40,,,,10
0,3,male,35,0,0,7.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
0,3,male,,1,0,15.5,Q,Third,man,TRUE,,Queenstown,no,FALSE,FALSE,,,,,0,,,,10
0,3,male,30,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
1,1,female,60,1,0,75.25,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,1,,,,,60,,,,70
1,3,female,,0,0,7.2292,C,Third,woman,FALSE,,Cherbourg,yes,TRUE,1,,,,,0,,,,0
1,3,female,,0,0,7.75,Q,Third,woman,FALSE,,Queenstown,yes,TRUE,1,,,,,0,,,,0
1,1,female,24,0,0,69.3,C,First,woman,FALSE,B,Cherbourg,yes,TRUE,1,,,,,20,,,,60
1,1,male,25,1,0,55.4417,C,First,man,TRUE,E,Cherbourg,yes,FALSE,1,,,,,20,,,,50
0,3,male,18,1,0,6.4958,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,10,,,,0
0,3,male,19,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,0
0,1,male,22,0,0,135.6333,C,First,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,20,,,,130
0,3,female,3,3,1,21.075,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,,0,,,,20
1,1,female,,1,0,82.1708,C,First,woman,FALSE,,Cherbourg,yes,FALSE,1,,,,,0,,,,80
1,3,female,22,0,0,7.25,S,Third,woman,FALSE,,Southampton,yes,TRUE,1,,,,,20,,,,0
0,1,male,27,0,2,211.5,C,First,man,TRUE,C,Cherbourg,no,FALSE,FALSE,,,,,20,,,,210
0,3,male,20,0,0,4.0125,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,19,0,0,7.775,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,0
1,1,female,42,0,0,227.525,C,First,woman,FALSE,,Cherbourg,yes,TRUE,1,,,,,40,,,,220
1,3,female,1,0,2,15.7417,C,Third,child,FALSE,,Cherbourg,yes,FALSE,1,,,,,0,,,,10
0,3,male,32,0,0,7.925,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
1,1,female,35,1,0,52,S,First,woman,FALSE,,Southampton,yes,FALSE,1,,,,,30,,,,50
0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,2,male,18,0,0,73.5,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,70
0,3,male,1,5,2,46.9,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,,0,,,,40
1,2,female,36,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE,1,,,,,30,,,,10
0,3,male,,0,0,7.7292,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,0,,,,0
1,2,female,17,0,0,12,C,Second,woman,FALSE,,Cherbourg,yes,TRUE,1,,,,,10,,,,10
1,1,male,36,1,2,120,S,First,man,TRUE,B,Southampton,yes,FALSE,1,,,,,30,,,,120
1,3,male,21,0,0,7.7958,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,20,,,,0
0,3,male,28,2,0,7.925,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,20,,,,0
1,1,female,23,1,0,113.275,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,1,,,,,20,,,,110
1,3,female,24,0,2,16.7,S,Third,woman,FALSE,G,Southampton,yes,FALSE,1,,,,,20,,,,10
0,3,male,22,0,0,7.7958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,female,31,0,0,7.8542,S,Third,woman,FALSE,,Southampton,no,TRUE,FALSE,,,,,30,,,,0
0,2,male,46,0,0,26,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,40,,,,20
0,2,male,23,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,10
1,2,female,28,0,0,12.65,S,Second,woman,FALSE,,Southampton,yes,TRUE,1,,,,,20,,,,10
1,3,male,39,0,0,7.925,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,30,,,,0
0,3,male,26,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,female,21,1,0,9.825,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,20,,,,0
0,3,male,28,1,0,15.85,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,20,,,,10
0,3,female,20,0,0,8.6625,S,Third,woman,FALSE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,2,male,34,1,0,21,S,Second,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,30,,,,20
0,3,male,51,0,0,7.75,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,50,,,,0
1,2,male,3,1,1,18.75,S,Second,child,FALSE,,Southampton,yes,FALSE,1,,,,,0,,,,10
0,3,male,21,0,0,7.775,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,female,,3,1,25.4667,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,0,,,,20
0,3,male,,0,0,7.8958,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
0,3,male,,0,0,6.8583,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,0,,,,0
1,1,female,33,1,0,90,Q,First,woman,FALSE,C,Queenstown,yes,FALSE,1,,,,,30,,,,90
0,2,male,,0,0,0,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
1,3,male,44,0,0,7.925,S,Third,man,TRUE,,Southampton,yes,TRUE,1,,,,,40,,,,0
0,3,female,,0,0,8.05,S,Third,woman,FALSE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
1,2,female,34,1,1,32.5,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,30,,,,30
1,2,female,18,0,2,13,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,10,,,,10
0,2,male,30,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,10
0,3,female,10,0,2,24.15,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,,10,,,,20
0,3,male,,0,0,7.8958,C,Third,man,TRUE,,Cherbourg,no,TRUE,FALSE,,,,,0,,,,0
0,3,male,21,0,0,7.7333,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,20,,,,0
0,3,male,29,0,0,7.875,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
0,3,female,28,1,1,14.4,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,20,,,,10
0,3,male,18,1,1,20.2125,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,,10,,,,20
0,3,male,,0,0,7.25,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,0,,,,0
1,2,female,28,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,20,,,,20
1,2,female,19,0,0,26,S,Second,woman,FALSE,,Southampton,yes,TRUE,1,,,,,10,,,,20
0,3,male,,0,0,7.75,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,,,0,,,,0
1,3,male,32,0,0,8.05,S,Third,man,TRUE,E,Southampton,yes,TRUE,1,,,,,30,,,,0
1,1,male,28,0,0,26.55,S,First,man,TRUE,C,Southampton,yes,TRUE,1,,,,,20,,,,20
1,3,female,,1,0,16.1,S,Third,woman,FALSE,,Southampton,yes,FALSE,1,,,,,0,,,,10
1,2,female,42,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,40,,,,20
0,3,male,17,0,0,7.125,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,10,,,,0
0,1,male,50,1,0,55.9,S,First,man,TRUE,E,Southampton,no,FALSE,FALSE,,,,,50,,,,50
1,1,female,14,1,2,120,S,First,child,FALSE,B,Southampton,yes,FALSE,1,,,,,10,,,,120
0,3,female,21,2,2,34.375,S,Third,woman,FALSE,,Southampton,no,FALSE,FALSE,,,,,20,,,,30
1,2,female,24,2,3,18.75,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,20,,,,10
0,1,male,64,1,4,263,S,First,man,TRUE,C,Southampton,no,FALSE,FALSE,,,,,60,,,,260
0,2,male,31,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,30,,,,10
1,2,female,45,1,1,26.25,S,Second,woman,FALSE,,Southampton,yes,FALSE,1,,,,,40,,,,20
0,3,male,20,0,0,9.5,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,,20,,,,0
